CAT,Gender,6C,Program,Source,Numbers
Youth,Male,1Contact,Outreach,"IGNITE, College, Youth Community",250
Youth,Male,2Cultivate,Sunday Program,WhatsApp Groups,56
Youth,Male,3Congregate,Manjari Programs,WhatsApp Groups,35
Youth,Male,4Commitment,BV,BV Leader,25
Youth,Male,5Certification,BV,BV Leader,15
Youth,Male,6Complete Perfection,Preaching Team,,7
Youth,Female,1Contact,Outreach,BLISS,500
Youth,Female,2Cultivate,Sunday Program,WhatsApp Groups,108
Youth,Female,3Congregate,Manjari Programs,WhatsApp Groups,108
Youth,Female,4Commitment,BV,BV Leader,56
Youth,Female,5Certification,BV,BV Leader,35
Youth,Female,6Complete Perfection,Preaching Team,,11
Adult,Male,1Contact,Temple Walkin; Outreach,,2500; 5000
Adult,Male,2Cultivate,,,
Adult,Male,3Congregate,,,
Adult,Male,4Commitment,,,
Adult,Male,5Certification,,,
Adult,Male,6Complete Perfection,,,
Adult,Female,1Contact,,,
Adult,Female,2Cultivate,,,
Adult,Female,3Congregate,,,
Adult,Female,4Commitment,,,
Adult,Female,5Certification,,,
Adult,Female,6Complete Perfection,,,
Children,All,1Contact,Outreach,Nandotsav - Interschool Competition,30000
Children,All,2Cultivate,Jagannath Paatha Shala,WhatsApp groups,
Children,All,3Congregate,,,
Children,All,4Commitment,,,
Children,All,5Certification,,,
Children,All,6Complete Perfection,,,